Customer_ID,Name,Email,City,Age,Purchase_Date,Product,Quantity,Purchase_Amount
C1001,Ananya Patil,ananya.patil@example.com,Mumbai,35.0,2026-03-04 00:00:00,Smartwatch,2.0,49998
C1002,Vivaan Desai,vivaan.desai@example.com,Pune,55.0,2026-04-19 00:00:00,Laptop,1.0,999
C1003,Arjun Verma,arjun.verma@example.com,Mumbai,53.0,2026-02-20 00:00:00,Tablet,2.0,9998
C1004,Priya Gupta,priya.gupta@example.com,Mumbai,28.0,2026-06-28 00:00:00,Tablet,3.0,7497
C1005,Aditya Verma,aditya.verma@example.com, mumbai,24.0,2026-01-24 00:00:00,Tablet,1.0,2499
C1006,Pooja Mehta,pooja.mehta@example.com,Hyderabad,20.0,2026-07-06 00:00:00,Mouse,5.0,4995
C1007,Kavya Joshi,kavya.joshi@example.com,Pune,53.0,2026-03-17 00:00:00,Monitor,5.0,7495
C1008,Sneha Patil,,Mumbai,32.0,2026-07-17 00:00:00,Keyboard,1.0,44999
C1009,Arjun Patil,arjun.patil@example.com,Kolkata,35.0,2026-04-27 00:00:00,Monitor,2.0,4998
C1010,Rohan Verma,rohan.verma@example.com,Hyderabad,22.0,2026-06-05 00:00:00,Headphones,5.0,124995
C1011,Arjun Singh,arjun.singh@example.com,Noida,42.0,2026-11-03 00:00:00,Smartwatch,3.0,134997
C1012,Isha Sharma,isha.sharma@example.com,Bengaluru,20.0,2026-07-26 00:00:00,Monitor,4.0,9996
C1013,Vivaan Verma,vivaan.verma@example.com,Chennai,31.0,2026-06-17 00:00:00,Mouse,4.0,"₹45,000"
C1014,Karan Singh,karan.singh@example.com,Hyderabad,26.0,2026-03-05 00:00:00,Keyboard,5.0,24995
C1015,Kavya Kulkarni,kavya.kulkarni@example.com,Kolkata,,2026-02-26 00:00:00,Headphones,5.0,24995
C1016,Vivaan Sharma,vivaan.sharma@example.com,Pune,27.0,2026-06-10 00:00:00,Headphones,4.0,39996
C1017,Vivaan Joshi,vivaan.joshi@example.com,Kolkata,47.0,2026-05-16 00:00:00,Keyboard,5.0,224995
C1018,Aarav Patil,aarav.patil@example.com,Hyderabad,39.0,2026-01-29 00:00:00,Keyboard,4.0,5996
